국민체육진흥공단 스포츠강좌이용권 관련 시설 현황,스포츠강좌이용권(구 스포츠바우처) 관련 시설정보,2015-12-07,2015-12-30,정보기획팀,02-410-1261,['강좌정보 목록조회']
승마시설정보,"전국의 승마시설 정보입니다.(승마장명, 소재지, 주소)",2014-12-18,2014-12-19,"정보기술처,ICT혁신단",02-6006-3233,['승마시설정보']
한국남동발전 연료도입현황,남동발전의 월별 연료도입 현황정보를 제공하는 서비스 입니다.,2016-08-24,2017-09-28,ICT융합부,070-8898-1823,['한국남동발전 연료도입실적 조회']
먹는물 공동시설(약수터) 수질검사 결과,"부산시 소재 공동시설(약수터)의 대장균, 일반 세균, 암모니아, 질소 등 수질검사 결과",2015-01-14,2017-08-14,환경보전과,051-888-3641,"['부산 먹는물 공동시설 수질 정보 조회', '부산 먹는물 공동시설 수질 부적합 정보 조회']"
해양수산주요통계,"해양수산분야 행정통계, 주요통계",2017-12-28,2017-12-28,정보화담당관,044-200-5179,[]
국내 연탄용 석탄소비현황,국내 생산 무연탄의 월별 가정용(연탄용) 소비량,2015-10-27,2017-08-30,기획팀,010-5360-6481,['국내 연탄 소비현황']
발전설비 이용률,한국서부발전 발전설비 이용계획 및 실적 (2014년),2014-12-24,2017-01-18,IT총괄지원팀,041-400-1932,['발전설비 이용률']
한국감정원 토지거래 현황,"한국감정원의 통계 중 토지거래의 용도지역별, 지목별, 행정구역별 거래현황입니다.",2016-08-09,2016-08-17,정보화기획부,053-663-8474,['토지거래 건수 조회']
개인보증 현황,개인보증 현황,2016-12-22,2017-09-19,,051-663-8241,['전세자금보증 보증한도금액 조회']
서울특별시 문화시설 정보,서울에 있는 문화시설 관련 정보를 제공하는 서비스입니다,2016-10-26,2016-10-27,정보시스템담당관,02-6361-3192,['서울시 문화위치정보 주소 검색']
한국감정원 부동산 월세가격 지수 현황,한국감정원의 부동산 월세가격지수를 데이터,2016-08-17,2016-08-29,정보화기획부,053-663-8474,['지역별 월세가격지수조회']
연안정지관측정보,"(해양수산연구정보) 전국 주요 연안의 수온, 염분, 기온, 풍향, 운량, 날씨 등 정보를 1일 단위로 서비스",2015-12-23,2017-11-10,정보화담당관,044-200-5179,"['관측지점별 정보 조회_연안', '관측지점 위치 및 세부정보검색_연안']"
경기도 수원시_공중화장실,"경기도 수원시_공중화장실(화장실명, 소재지주소, 개방시간 등) 제공",2015-12-28,2016-02-16,-,031-228-2306,['수원시 공중화장실 정보']
경마장 기수정보,서울경마장에서 출전하는 기수정보,2014-12-18,2014-12-19,"정보기술처,ICT혁신단",02-6006-3233,['기수정보']
품종정보 서비스,품종정보 서비스,2016-01-19,2017-12-01,지식정보화담당관실,063-238-0490,"['품종 작목코드', '품종 정보별 작물분류', '품종 정보별 기능구분', '품종 정보별 육성연도', '품종 리스트']"
올림픽공원 운영현황,올림픽공원에 주차장 및 입장객 운영현황 제공,2017-06-20,2017-06-21,사업개발팀,02-2180-3495,[]
국방전자도서관 도서정보,국방에서 관리하는 도서 정보,2014-12-23,2014-12-23,정신전력문화정책과,02-748-6715,[]
한국감정원 부동산 전세가격 지수 현황,"한국감정원의 부동산(단독주택, 연립다세대, 아파트 등)의 전세가격 지수를 조사한 데이터",2016-08-09,2018-05-09,정보화기획부,053-663-8474,"['월별 지역별 주택가격지수 조회', '규모별 주택가격지수 조회', '연령별 주택가격지수 조회', '계절조정 주택가격지수 조회', '월별 지역별 주택가격 조회', '매매가격대비 전세가격 비율 조회', '매매 수급 동향 조회', '매매 거래 동향 조회', '전세 수급 동향 조회', '전세 거래 동향 조회', '주택가격 5분위 배율 조회']"
주택보증동향,"분양동향, 주택금융 등 주택시장 흐름에 대한 분기별 분석자료",2017-02-15,2017-02-16,일자리창출전략처,055-955-5746,[]
음식점현황,서귀포시 음식점 현황입니다.,2016-09-21,2017-06-05,,,"['모범음식점 목록', '모범음식점 조회', '모범음식점 첨부파일']"
한국과학기술정보연구원 전국 전문도서관 위치 정보,"한국과학기술정보연구원(KISTI)에서 보유하고 있는 학술지 소장기관 정보 즉, 전국의 대학 및 전문도서관에 대한 위치(주소, 좌표 정보)를 제공한다.
KISTI에서 운영하고 있는 국가과학기술정보센터 웹사이트(www.ndsl.kr)를 방문하면 전국의 학술지 소장기관에 대한 더 자세한 정보를 얻을 수 있다.",2012-12-06,2016-06-03,정보보호실,042-869-1018,"['대학 및 전문도서관 목록 조회', '대학 및 전문도서관 상세 조회']"
생활법령검색조회 서비스,"생활법령 검색시스템에 키워드통합검색목록조회,검색분류목록조회,
법령해석례목록조회,행정심판재결례목록조회,
대법원판례목록조회,헌법재판소결정례목록조회
등을 서비스 한다.",2011-12-03,2017-01-25,법제정보과,044-200-6788,"['주요궁금사항목록조회', '백문백답본문검색목록조회', '관심규정해설검색목록조회', '생활분야검색목록조회', '키워드통합검색목록조회', '헌법재판소결정례목록조회', '대법원판례목록조회', '백문백답법령명검색목록조회', '분류검색 목록조회', '법령해석례목록조회', '검색분류목록조회', '행정심판재결례목록조회']"
신재생에너지 건설 및 개발현황,한국서부발전의 신재생 발전 에너지 개발 현황,2014-12-24,2017-01-18,IT총괄지원팀,041-400-1932,['신재생에너지 개발현황']
국민행동요령,민방위 자연재난 생활안전 생활안전 국민행동요령,2014-08-06,2017-01-24,정보통계담당관실,02-2100-3050,"['민방위 국민행동요령', '자연재난 국민행동요령', '사회재난 국민행동요령', '생활안전 국민행동요령']"
전력관련 용어사전 정보,전력용어사전,2015-08-28,2015-09-01,,,"['초성 검색결과 목록 조회', '카테고리 목록 조회', '검색어 검색결과 목록 조회', '용어 항목 조회']"
농촌진흥청 농촌교육농장 정보,초.중.고등학교의 체험활동 교과과정과 연계한 농촌교육농장의 체계적 육성을 목적으로 농촌진흥청 품질인증 현황,2017-12-11,2017-12-13,지식정보화담당관실,063-238-0490,[]
여행지도정보서비스,관광지 목록을 보고 위치를 알고 싶은 관광지를 선택하여 해당 관광지의 위치정보와 주변관광지의 위치정보를 조회,2012-12-06,2017-08-10,,,"['여행지도 목록 조회', '여행지도 보기', '주변관광 지도 보기']"
제주특별자치도_환경오염정보,"환경보전에 따른 환경오염위반사업장,배출사업장, 방지시설업, 배출시설 현황입니다.",2017-07-21,2017-07-25,,,[]
소음측정 정보,부산 도시철도 소음도측정결과,2017-11-15,2017-11-15,기획조정실 정보화단,051-640-7174,"['측정년도, 역코드별 소음 측정 결과 조회']"
소방시설업 정보,소방시설업 등록사항 일반정보,2016-05-10,2016-05-16,소방정책국 소방산업과,044-205-7508,['소방시설업체현황']
부산광역시 남구 주유소 현황,"부산 남구 주유소 현황으로 상호명, 대표자명, 전화번호, 위치 등이 있습니다.",2016-06-14,2016-06-28,평생교육과,051-607-4304,['부산광역시 남구 주유소 현황 정보 조회']
다중이용업관리,전국 다중이용업소정보 제공,2016-05-10,2016-05-16,화재예방과,044-205-7444,['다중이용업소 관리현황 통계']
기계연구원 기계기술전문 소장목록,"한국기계연구원 전자도서관이 소장하고 있는 기계분야 목록 정보
https://library.kimm.re.kr",2015-09-21,2015-09-25,도서관,042-868-7624,['KIMM Machinery Information']
농수축산물 표준코드-국제표준코드 매핑정보,도매시장에서 실거래가 발생하는 농축수산물 표준 품목 코드 499개를 사전 선정하였으며 499개의 농축수산물 표준 품목코드를 기준으로 동일한 국제표준코드를 나타낸 정보,2016-01-06,2016-03-14,정보화사업본부 정보기획실,044-861-8744,"['GPC품목매핑목록조회', 'HSK품목매핑목록조회']"
세종특별자치시_음식점,"세종시 관내 모범음식점, 일반음식점, 커피숍, 분식집 등 정보",2016-02-16,2017-12-04,,,['모범음식점 정보']
해양환경측정망 정보,"전국 31개 연안 항만 50개 정점의 연2회(2,8월) 측정한 자료, 정제한 자료는 meis.go.kr에서 갱신되며 해수일반(수온,염분등 15개), 미량금속(8개), 해양생물, 해저퇴적물 등 자료 정보(API)",2017-08-30,2017-12-28,정보화,02-3498-8646,['해양환경측정망 정보검색']
작목별 농업기술정보 서비스,작목별 농업기술정보를 제공,2017-12-11,2017-12-13,지식정보화담당관실,063-238-0490,[]
여수·광양항 선박 입출항 통계,"여수·광양항 입출항 선박에 대한 종류별, 톤급별 실적 통계 정보 제공",2014-12-24,2017-10-24,글로벌마케팅팀,061-797-4438,['선박톤급별 입항선박 통계정보 조회']
건물에너지 사용량,"지번별 전기, 가스 등 건물별 에너지 사용량",2015-12-24,2018-03-23,녹색건축과,044-201-3773,"['지번별 전기사용량 조회', '지번별 가스사용량 조회']"
울산광역시 어린이보호구역,"어린이 등,하교시 교통사고등 안전사고를 미연에 방지하고자 지정한 어린이보호 구역 현황 제공",2015-10-29,2018-05-09,스마트시티담당관,052-229-2361,"['어린이보호구역 목록', '어린이보호구역 상세보기']"
재난문자방송 발령현황,재난발생정보를 휴대폰을 통해 전달,2017-03-30,2017-03-31,정보통계담당관실,02-2100-3050,[]
[안전보건] 건설업 기초안전보건교육기관 등록현황,건설업 기초안전보건교육기관 등록현황,2016-11-11,2016-11-15,정보화센터,052-703-0724,['건설업기초교육기관']
[공통] 산업재산권 출원인대표명,"1. 개요
특허를 출원하려는 자 또는 기업이 다수의 출원인을 등록해 놓은 경우 이를 대표하는 하나의 출원인명에 대한 정보를 대용량 및 API(SOAP방식)로 제공합니다.

2. 세부 정보 내용
① 출원인대표명: 복수 출원인에 대한 대표 출원인명
② 출원인대표코드: 대표 출원인의 코드 번호
③ 대용량(Bulk): TXT, API(SOAP): XML

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr
※ 하단에 제공되는 데이터는 샘플입니다. 전체 이용을 원하시는 경우, 안내 홈페이지로 이동하여 상세정보를 확인하십시오.(http://plus.kipris.or.kr)",2017-04-26,2017-04-28,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,[]
[부산광역시] 수질정보,부산시 정수장별 상수도수질정보 및 수질통계 자료,2015-01-19,2017-08-14,상수도사업본부,051-669-4164,"['부산 하천수질 측정소별 정보 조회', '부산 하천수질 항목별 정보 조회']"
여행경보제도,"외교부에서 지정하는 여행 유의, 자제, 제한 등 해외 여행경보 대상국가 목록 및 상세정보를 조회할 수 있다.

여행유의(일부): 방콕 및 논타부리 주 전역, 빠툼타니 주 및 사뭇쁘라깐 주 방콕 접경 지역여행자제(일부): 수린주,시사켓주의 캄보디아와의 국경지역여행제한(일부): 나라티왓 주, 파타니 주, 얄라 주, 송크흘라 주 남부 말레이시아 인접지역",2016-01-04,2017-08-30,재외국민보호과,02-2100-7588,"['여행경보제도 목록조회', '여행경보제도 단일조회']"
공시지가조회서비스,포항시 개별공시지가 정보를 제공한다.,2014-09-24,2014-09-24,정보통신과,054-270-2293,"['남구 공시지가 목록 조회', '북구 공시지가 목록 조회']"
[안전보건] 특수건강진단기관 지정현황,특수건강진단기관 지정현황,2015-10-19,2015-10-20,정보화센터,052-703-0724,"['기관조회', '상세조회']"
다목적댐 가뭄정보,"다목적댐별 저수량 및 가뭄단계, 용수공급가능기간 제공",2015-05-08,2017-09-14,-,,"['다목적댐 가뭄정보 조회 서비스', '다목적댐 가뭄정보 댐 코드 서비스']"
부산 도시철도 열차시각표 조회 서비스,"부산 도시철도 역별 열차 도착시각 정보를 조회하는 서비스
※ 표준 열차도착 시각이며 실제 도착시각과 다를 수 있음",2013-07-24,2017-09-14,기획조정실 정보화단,051-640-7174,['부산 도시철도 열차시각표 조회 서비스']
서귀포시 개별공시지가정보,"기준년월일로 결정, 공시된 서귀포시 개별공시지가 자료",2013-12-31,2017-06-05,,,['서귀포시 개별공시지가정보']
